,chari2015Train293T_1234,xu2015TrainHl60_2076,xu2015TrainKbm7_2076,doench2016_2333,hart2016_GbmAvg_4272,hart2016_Hct1162lib1Avg_4239,hart2016_Hct1162lib2Avg_3617,hart2016_HelaLib1Avg_4256,hart2016_HelaLib2Avg_3845,hart2016_Rpe1Avg_4214,wang2015hg19_2921,xu2015TrainMEsc_981,liu2016_mm9_205,gandhi2016_ci2_72,housden2015_75,concordet2_Hs_26,concordet2_Mm_18,farboud2015_50,ren2015_39,xu2015_35,schoenigRn_15,chari2015Valid293T_10,chari2015ValidA549_10,chari2015ValidHepG2_10,chari2015ValidPGP1iPS_10,chari2015ValidSKNAS_10,chari2015ValidU2OS_10,schoenigMm_6,schoenigHs_3,doench2014Hs_881,doench2014Mm_951,doench2014HsA375_1276,Labuhn2018Ms_214,Labuhn2018Hs_210
chari2015Train293T_1234,,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
xu2015TrainHl60_2076,1,,2076,0,66,67,30,67,36,65,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
xu2015TrainKbm7_2076,1,2076,,0,66,67,30,67,36,65,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
doench2016_2333,3,0,0,,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hart2016_GbmAvg_4272,0,66,66,0,,4197,0,4209,0,4173,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0
hart2016_Hct1162lib1Avg_4239,0,67,67,0,4197,,0,4181,0,4148,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0
hart2016_Hct1162lib2Avg_3617,0,30,30,0,0,0,,0,3553,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
hart2016_HelaLib1Avg_4256,0,67,67,0,4209,4181,0,,0,4160,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0
hart2016_HelaLib2Avg_3845,0,36,36,0,0,0,3553,0,,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
hart2016_Rpe1Avg_4214,0,65,65,0,4173,4148,0,4160,0,,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0
wang2015hg19_2921,0,182,182,7,104,101,78,102,81,101,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
xu2015TrainMEsc_981,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
liu2016_mm9_205,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gandhi2016_ci2_72,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
housden2015_75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concordet2_Hs_26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concordet2_Mm_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farboud2015_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ren2015_39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xu2015_35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schoenigRn_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
chari2015Valid293T_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,10,10,10,10,0,0,0,0,0,0,0
chari2015ValidA549_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,10,10,10,10,0,0,0,0,0,0,0
chari2015ValidHepG2_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,,10,10,10,0,0,0,0,0,0,0
chari2015ValidPGP1iPS_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,,10,10,0,0,0,0,0,0,0
chari2015ValidSKNAS_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,,10,0,0,0,0,0,0,0
chari2015ValidU2OS_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,,0,0,0,0,0,0,0
schoenigMm_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
schoenigHs_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
doench2014Hs_881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
doench2014Mm_951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
doench2014HsA375_1276,1,35,35,0,48,48,22,48,23,48,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
Labuhn2018Ms_214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,206
Labuhn2018Hs_210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,206,
